job_title,company_name,company_location,job_listed,job_detail_url,company_link
"Administrator, Property Services",Melco Resorts & Entertainment,"Colombo, Western Province, Sri Lanka",2 weeks ago,https://lk.linkedin.com/jobs/view/administrator-property-services-at-melco-resorts-entertainment-4055924336?position=1&pageNum=5&refId=8lOkXZYlri72zz3QaIdxwg%3D%3D&trackingId=6W%2FQFY1dbeWaiEipkycYtg%3D%3D,https://hk.linkedin.com/company/melco-resorts-entertainment?trk=public_jobs_jserp-result_job-search-card-subtitle
Assistant Manager Customer Service,Avery Dennison,"Colombo, Western Province, Sri Lanka",2 weeks ago,https://lk.linkedin.com/jobs/view/assistant-manager-customer-service-at-avery-dennison-4228914915?position=2&pageNum=5&refId=8lOkXZYlri72zz3QaIdxwg%3D%3D&trackingId=BHK%2BLijAQTx%2BOdZiF80TRQ%3D%3D,https://www.linkedin.com/company/avery-dennison?trk=public_jobs_jserp-result_job-search-card-subtitle
Senior Generalist - People & Culture,BCD Travel,"Colombo, Western Province, Sri Lanka",2 weeks ago,https://lk.linkedin.com/jobs/view/senior-generalist-people-culture-at-bcd-travel-4224381421?position=3&pageNum=5&refId=8lOkXZYlri72zz3QaIdxwg%3D%3D&trackingId=IkBPbHuUhjVywhH57Bebug%3D%3D,https://nl.linkedin.com/company/bcd-travel?trk=public_jobs_jserp-result_job-search-card-subtitle
Senior Executive - Business Development,Quess Lanka,"Colombo, Western Province, Sri Lanka",3 weeks ago,https://lk.linkedin.com/jobs/view/senior-executive-business-development-at-quess-lanka-4223279625?position=4&pageNum=5&refId=8lOkXZYlri72zz3QaIdxwg%3D%3D&trackingId=OS9TdfQQUgh4o2NyRpT8aw%3D%3D,https://lk.linkedin.com/company/quess-lanka?trk=public_jobs_jserp-result_job-search-card-subtitle
Junior secretary,Smart Quest Consultancy,"Colombo, Western Province, Sri Lanka",1 month ago,https://lk.linkedin.com/jobs/view/junior-secretary-at-smart-quest-consultancy-4204338362?position=5&pageNum=5&refId=8lOkXZYlri72zz3QaIdxwg%3D%3D&trackingId=UEyePLliGMdpW08ejdKdeg%3D%3D,https://lk.linkedin.com/company/smart_quest_coaching?trk=public_jobs_jserp-result_job-search-card-subtitle
Analyst,FIBC Lanka (Pvt) Ltd,"Polonnaruwa, North Central Province, Sri Lanka",2 weeks ago,https://lk.linkedin.com/jobs/view/analyst-at-fibc-lanka-pvt-ltd-4226931079?position=6&pageNum=5&refId=8lOkXZYlri72zz3QaIdxwg%3D%3D&trackingId=i%2Fgx0MC1j8M56YekLl764g%3D%3D,https://lk.linkedin.com/company/fibc-lanka-pvt-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle
Regional Support Lead – Lower South Island,Playcentre Aotearoa,"Badulla District, Uva Province, Sri Lanka",1 week ago,https://lk.linkedin.com/jobs/view/regional-support-lead-%E2%80%93-lower-south-island-at-playcentre-aotearoa-4232715012?position=7&pageNum=5&refId=8lOkXZYlri72zz3QaIdxwg%3D%3D&trackingId=mLO61giJK8jtQODGGUkrlg%3D%3D,https://nz.linkedin.com/company/playcentreaotearoa?trk=public_jobs_jserp-result_job-search-card-subtitle
Associate Trainer,Oceans,"Colombo, Western Province, Sri Lanka",2 weeks ago,https://lk.linkedin.com/jobs/view/associate-trainer-at-oceans-4228896531?position=8&pageNum=5&refId=8lOkXZYlri72zz3QaIdxwg%3D%3D&trackingId=CAs0mhTYFiLK6IQv3Ch8gw%3D%3D,https://www.linkedin.com/company/oceanstalent?trk=public_jobs_jserp-result_job-search-card-subtitle
Senior Accountant,Chargeurs PCC Fashion Technologies,"Dehiwala, Western Province, Sri Lanka",6 days ago,https://lk.linkedin.com/jobs/view/senior-accountant-at-chargeurs-pcc-fashion-technologies-4232888242?position=9&pageNum=5&refId=8lOkXZYlri72zz3QaIdxwg%3D%3D&trackingId=WUhscCLnV9fi78opIY3vtA%3D%3D,https://fr.linkedin.com/company/chargeurs-pcc?trk=public_jobs_jserp-result_job-search-card-subtitle
Admin Executive/Assistant,GlobalSync Solutions,"Colombo, Western Province, Sri Lanka",1 hour ago,https://lk.linkedin.com/jobs/view/admin-executive-assistant-at-globalsync-solutions-4236566340?position=10&pageNum=5&refId=8lOkXZYlri72zz3QaIdxwg%3D%3D&trackingId=P0fUAidhhyNkf3HXNftg%2FA%3D%3D,https://lk.linkedin.com/company/globalsyncsolutions?trk=public_jobs_jserp-result_job-search-card-subtitle
